verbe,temps,1ps,2ps,3ps,1pp,2pp,3pp
dépendre,Passé composé,ai dépendu,as dépendu,a dépendu,avons dépendu,avez dépendu,ont dépendu
dépendre,Imparfait,dépendais,dépendais,dépendait,dépendions,dépendiez,dépendaient
dépendre,Futur simple,dépendrai,dépendras,dépendra,dépendrons,dépendrez,dépendront
déplaire,Présent,déplais,déplais,déplaît,déplaisons,déplaisez,déplaisent
déplaire,Passé composé,ai déplu,as déplu,a déplu,avons déplu,avez déplu,ont déplu
déplaire,Imparfait,déplaisais,déplaisais,déplaisait,déplaisions,déplaisiez,déplaisaient
déplaire,Futur simple,déplairai,déplairas,déplaira,déplairons,déplairez,déplairont
dépourvoir,Présent,dépourvois,dépourvois,dépourvoit,dépourvoyons,dépourvoyez,dépourvoient
dépourvoir,Passé composé,ai dépourvu,as dépourvu,a dépourvu,avons dépourvu,avez dépourvu,ont dépourvu
dépourvoir,Imparfait,dépourvoyais,dépourvoyais,dépourvoyait,dépourvoyions,dépourvoyiez,dépourvoyaient
dépourvoir,Futur simple,dépourvoirai,dépourvoiras,dépourvoira,dépourvoirons,dépourvoirez,dépourvoiront
désapprendre,Présent,désapprends,désapprends,désapprend,désapprenons,désapprenez,désapprennent
désapprendre,Passé composé,ai désappris,as désappris,a désappris,avons désappris,avez désappris,ont désappris
désapprendre,Imparfait,désapprenais,désapprenais,désapprenait,désapprenions,désappreniez,désapprenaient
désapprendre,Futur simple,désapprendrai,désapprendras,désapprendra,désapprendrons,désapprendrez,désapprendront
désassortir,Présent,désassors,désassors,désassort,désassortons,désassortez,désassortent
désassortir,Passé composé,ai désassorti,as désassorti,a désassorti,avons désassorti,avez désassorti,ont désassorti
désassortir,Imparfait,désassortais,désassortais,désassortait,désassortions,désassortiez,désassortaient
désassortir,Futur simple,désassortirai,désassortiras,désassortira,désassortirons,désassortirez,désassortiront
descendre,Présent,descends,descends,descend,descendons,descendez,descendent
descendre,Passé composé,suis descendu,es descendu,est descendu,sommes descendus,êtes descendus,sont descendus
descendre,Imparfait,descendais,descendais,descendait,descendions,descendiez,descendaient
descendre,Futur simple,descendrai,descendras,descendra,descendrons,descendrez,descendront
desservir,Présent,dessers,dessers,dessert,desservons,desservez,desservent
desservir,Passé composé,ai desservi,as desservi,a desservi,avons desservi,avez desservi,ont desservi
desservir,Imparfait,desservais,desservais,desservait,desservions,desserviez,desservaient
desservir,Futur simple,desservirai,desserviras,desservira,desservirons,desservirez,desserviront
déteindre,Présent,déteins,déteins,déteint,déteignons,déteignez,déteignent
déteindre,Passé composé,ai déteint,as déteint,a déteint,avons déteint,avez déteint,ont déteint
déteindre,Imparfait,déteignais,déteignais,déteignait,déteignions,déteigniez,déteignaient
déteindre,Futur simple,déteindrai,déteindras,déteindra,déteindrons,déteindrez,déteindront
détendre,Présent,détends,détends,détend,détendons,détendez,détendent
détendre,Passé composé,ai détendu,as détendu,a détendu,avons détendu,avez détendu,ont détendu
détendre,Imparfait,détendais,détendais,détendait,détendions,détendiez,détendaient
détendre,Futur simple,détendrai,détendras,détendra,détendrons,détendrez,détendront
détenir,Présent,détiens,détiens,détient,détenons,détenez,détiennent
détenir,Passé composé,ai détenu,as détenu,a détenu,avons détenu,avez détenu,ont détenu
détenir,Imparfait,détenais,détenais,détenait,détenions,déteniez,détenaient
détenir,Futur simple,détiendrai,détiendras,détiendra,détiendrons,détiendrez,détiendront
détordre,Présent,détords,détords,détord,détordons,détordez,détordent
détordre,Passé composé,ai détordu,as détordu,a détordu,avons détordu,avez détordu,ont détordu
détordre,Imparfait,détordais,détordais,détordait,détordions,détordiez,détordaient
détordre,Futur simple,détordrai,détordras,détordra,détordrons,détordrez,détordront
détruire,Présent,détruis,détruis,détruit,détruisons,détruisez,détruisent
détruire,Passé composé,ai détruit,as détruit,a détruit,avons détruit,avez détruit,ont détruit
détruire,Imparfait,détruisais,détruisais,détruisait,détruisions,détruisiez,détruisaient
détruire,Futur simple,détruirai,détruiras,détruira,détruirons,détruirez,détruiront
devenir,Présent,deviens,deviens,devient,devenons,devenez,deviennent
devenir,Passé composé,suis devenu,es devenu,est devenu,sommes devenus,êtes devenus,sont devenus
devenir,Imparfait,devenais,devenais,devenait,devenions,deveniez,devenaient
devenir,Futur simple,deviendrai,deviendras,deviendra,deviendrons,deviendrez,deviendront
dévêtir,Présent,dévêts,dévêts,dévêt,dévêtons,dévêtez,dévêtent
dévêtir,Passé composé,ai dévêtu,as dévêtu,a dévêtu,avons dévêtu,avez dévêtu,ont dévêtu
dévêtir,Imparfait,dévêtais,dévêtais,dévêtait,dévêtions,dévêtiez,dévêtaient
dévêtir,Futur simple,dévêtirai,dévêtiras,dévêtira,dévêtirons,dévêtirez,dévêtiront
devoir,Présent,dois,dois,doit,devons,devez,doivent
devoir,Passé composé,ai dû,as dû,a dû,avons dû,avez dû,ont dû
devoir,Imparfait,devais,devais,devait,devions,deviez,devaient
devoir,Futur simple,devrai,devras,devra,devrons,devrez,devront
dire,Présent,dis,dis,dit,disons,dites,disent
dire,Passé composé,ai dit,as dit,a dit,avons dit,avez dit,ont dit
dire,Imparfait,disais,disais,disait,disions,disiez,disaient
dire,Futur simple,dirai,diras,dira,dirons,direz,diront
disconvenir,Présent,disconviens,disconviens,disconvient,disconvenons,disconvenez,disconviennent
disconvenir,Passé composé,ai disconvenu,as disconvenu,a disconvenu,avons disconvenu,avez disconvenu,ont disconvenu
disconvenir,Imparfait,disconvenais,disconvenais,disconvenait,disconvenions,disconveniez,disconvenaient
disconvenir,Futur simple,disconviendrai,disconviendras,disconviendra,disconviendrons,disconviendrez,disconviendront
discourir,Présent,discours,discours,discourt,discourons,discourez,discourent
discourir,Passé composé,ai discouru,as discouru,a discouru,avons discouru,avez discouru,ont discouru
discourir,Imparfait,discourais,discourais,discourait,discourions,discouriez,discouraient
discourir,Futur simple,discourrai,discourras,discourra,discourrons,discourrez,discourront
disjoindre,Présent,disjoins,disjoins,disjoint,disjoignons,disjoignez,disjoignent
disjoindre,Passé composé,ai disjoint,as disjoint,a disjoint,avons disjoint,avez disjoint,ont disjoint
disjoindre,Imparfait,disjoignais,disjoignais,disjoignait,disjoignions,disjoigniez,disjoignaient
disjoindre,Futur simple,disjoindrai,disjoindras,disjoindra,disjoindrons,disjoindrez,disjoindront
disparaître,Présent,disparais,disparais,disparaît,disparaissons,disparaissez,disparaissent
disparaître,Passé composé,ai disparu,as disparu,a disparu,avons disparu,avez disparu,ont disparu
disparaître,Imparfait,disparaissais,disparaissais,disparaissait,disparaissions,disparaissiez,disparaissaient
disparaître,Futur simple,disparaîtrai,disparaîtras,disparaîtra,disparaîtrons,disparaîtrez,disparaîtront
dissoudre,Présent,dissous,dissous,dissout,dissolvons,dissolvez,dissolvent
dissoudre,Passé composé,ai dissous,as dissous,a dissous,avons dissous,avez dissous,ont dissous
dissoudre,Imparfait,dissolvais,dissolvais,dissolvait,dissolvions,dissolviez,dissolvaient
dissoudre,Futur simple,dissoudrai,dissoudras,dissoudra,dissoudrons,dissoudrez,dissoudront
distendre,Présent,distends,distends,distend,distendons,distendez,distendent
distendre,Passé composé,ai distendu,as distendu,a distendu,avons distendu,avez distendu,ont distendu
distendre,Imparfait,distendais,distendais,distendait,distendions,distendiez,distendaient
distendre,Futur simple,distendrai,distendras,distendra,distendrons,distendrez,distendront
distordre,Présent,distords,distords,distord,distordons,distordez,distordent
distordre,Passé composé,ai distordu,as distordu,a distordu,avons distordu,avez distordu,ont distordu
distordre,Imparfait,distordais,distordais,distordait,distordions,distordiez,distordaient
distordre,Futur simple,distordrai,distordras,distordra,distordrons,distordrez,distordront
distraire,Présent,distrais,distrais,distrait,distrayons,distrayez,distraient
distraire,Passé composé,ai distrait,as distrait,a distrait,avons distrait,avez distrait,ont distrait
distraire,Imparfait,distrayais,distrayais,distrayait,distrayions,distrayiez,distrayaient
distraire,Futur simple,distrairai,distrairas,distraira,distrairons,distrairez,distrairont
dormir,Présent,dors,dors,dort,dormons,dormez,dorment
dormir,Passé composé,ai dormi,as dormi,a dormi,avons dormi,avez dormi,ont dormi
dormir,Imparfait,dormais,dormais,dormait,dormions,dormiez,dormaient
dormir,Futur simple,dormirai,dormiras,dormira,dormirons,dormirez,dormiront
éconduire,Présent,éconduis,éconduis,éconduit,éconduisons,éconduisez,éconduisent
éconduire,Passé composé,ai éconduit,as éconduit,a éconduit,avons éconduit,avez éconduit,ont éconduit
éconduire,Imparfait,éconduisais,éconduisais,éconduisait,éconduisions,éconduisiez,éconduisaient
éconduire,Futur simple,éconduirai,éconduiras,éconduira,éconduirons,éconduirez,éconduiront
écrire,Présent,écris,écris,écrit,écrivons,écrivez,écrivent
écrire,Passé composé,ai écrit,as écrit,a écrit,avons écrit,avez écrit,ont écrit
écrire,Imparfait,écrivais,écrivais,écrivait,écrivions,écriviez,écrivaient
écrire,Futur simple,écrirai,écriras,écrira,écrirons,écrirez,écriront
élire,Présent,elis,élis,élit,élisons,élisez,élisent
élire,Passé composé,ai élu,as élu,a élu,avons élu,avez élu,ont élu
élire,Imparfait,élisais,élisais,élisait,élisions,élisiez,élisaient
élire,Futur simple,élirai,éliras,élira,élirons,élirez,éliront
embattre,Présent,embats,embats,embat,embattons,embattez,embattent
embattre,Passé composé,ai embattu,as embattu,a embattu,avons embattu,avez embattu,ont embattu
embattre,Imparfait,embattais,embattais,embattait,embattions,embattiez,embattaient
embattre,Futur simple,embattrai,embattras,embattra,embattrons,embattrez,embattront
émettre,Présent,émets,émets,émet,émettons,émettez,émettent
émettre,Passé composé,ai émis,as émis,a émis,avons émis,avez émis,ont émis
émettre,Imparfait,émettais,émettais,émettait,émettions,émettiez,émettaient
émettre,Futur simple,émettrai,émettras,émettra,émettrons,émettrez,émettront
émoudre,Présent,émouds,émouds,émoud,émoulons,émoulez,émoulent
émoudre,Passé composé,ai émoulu,as émoulu,a émoulu,avons émoulu,avez émoulu,ont émoulu
émoudre,Imparfait,émoulais,émoulais,émoulait,émoulions,émouliez,émoulaient
émoudre,Futur simple,émoudrai,émoudras,émoudra,émoudrons,émoudrez,émoudront
émouvoir,Présent,émeus,émeus,émeut,émouvons,émouvez,émeuvent
émouvoir,Passé composé,ai ému,as ému,a ému,avons ému,avez ému,ont ému
émouvoir,Imparfait,émouvais,émouvais,émouvait,émouvions,émouviez,émouvaient
émouvoir,Futur simple,émouvrai,émouvras,émouvra,émouvrons,émouvrez,émouvront
émpreindre,Présent,empreins,empreins,empreint,empreignons,empreignez,empreignent
émpreindre,Passé composé,ai empreint,as empreint,a empreint,avons empreint,avez empreint,ont empreint
émpreindre,Imparfait,empreignais,empreignais,empreignait,empreignions,empreigniez,empreignaient
émpreindre,Futur simple,empreindrai,empreindras,empreindra,empreindrons,empreindrez,empreindront
enceindre,Présent,enceins,enceins,enceint,enceignons,enceignez,enceignent
enceindre,Passé composé,ai enceint,as enceint,a enceint,avons enceint,avez enceint,ont enceint
enceindre,Imparfait,enceignais,enceignais,enceignait,enceignions,enceigniez,enceignaient
enceindre,Futur simple,enceindrai,enceindras,enceindra,enceindrons,enceindrez,enceindront
encourir,Présent,encours,encours,encourt,encourons,encourez,encourent
encourir,Passé composé,ai encouru,as encouru,a encouru,avons encouru,avez encouru,ont encouru
encourir,Imparfait,encourais,encourais,encourait,encourions,encouriez,encouraient
encourir,Futur simple,encourrai,encourras,encourra,encourrons,encourrez,encourront
endormir,Présent,endors,endors,endort,endormons,endormez,endorment
endormir,Passé composé,ai endormi,as endormi,a endormi,avons endormi,avez endormi,ont endormi
endormir,Imparfait,endormais,endormais,endormait,endormions,endormiez,endormaient
endormir,Futur simple,endormirai,endormiras,endormira,endormirons,endormirez,endormiront
enduire,Présent,enduis,enduis,enduit,enduisons,enduisez,enduisent
enduire,Passé composé,ai enduit,as enduit,a enduit,avons enduit,avez enduit,ont enduit
enduire,Imparfait,enduisais,enduisais,enduisait,enduisions,enduisiez,enduisaient
enduire,Futur simple,enduirai,enduiras,enduira,enduirons,enduirez,enduiront
endreindre,Présent,enfreins,enfreins,enfreint,enfreignons,enfreignez,enfreignent
endreindre,Passé composé,ai enfreint,as enfreint,a enfreint,avons enfreint,avez enfreint,ont enfreint
endreindre,Imparfait,enfreignais,enfreignais,enfreignait,enfreignions,enfreigniez,enfreignaient
endreindre,Futur simple,enfreindrai,enfreindras,enfreindra,enfreindrons,enfreindrez,enfreindront
enjoindre,Présent,enjoins,enjoins,enjoint,enjoignons,enjoignez,enjoignent
enjoindre,Passé composé,ai enjoint,as enjoint,a enjoint,avons enjoint,avez enjoint,ont enjoint
enjoindre,Imparfait,enjoignais,enjoignais,enjoignait,enjoignions,enjoigniez,enjoignaient
enjoindre,Futur simple,enjoindrai,enjoindras,enjoindra,enjoindrons,enjoindrez,enjoindront
entendre,Présent,entends,entends,entend,entendons,entendez,entendent
entendre,Passé composé,ai entendu,as entendu,a entendu,avons entendu,avez entendu,ont entendu
entendre,Imparfait,entendais,entendais,entendait,entendions,entendiez,entendaient
entendre,Futur simple,entendrai,entendras,entendra,entendrons,entendrez,entendront
entrapercevoir,Présent,entraperçois,entraperçois,entraperçoit,entrapercevons,entrapercevez,entraperçoivent
entrapercevoir,Passé composé,ai entraperçu,as entraperçu,a entraperçu,avons entraperçu,avez entraperçu,ont entraperçu
entrapercevoir,Imparfait,entrapercevais,entrapercevais,entrapercevait,entrapercevions,entraperceviez,entrapercevaient
entrapercevoir,Futur simple,entrapercevrai,entrapercevras,entrapercevra,entrapercevrons,entrapercevrez,entrapercevront
entreprendre,Présent,entreprends,entreprends,entreprend,entreprenons,entreprenez,entreprennent
entreprendre,Passé composé,ai entrepris,as entrepris,a entrepris,avons entrepris,avez entrepris,ont entrepris
entreprendre,Imparfait,entreprenais,entreprenais,entreprenait,entreprenions,entrepreniez,entreprenaient
entreprendre,Futur simple,entreprendrai,entreprendras,entreprendra,entreprendrons,entreprendrez,entreprendront
entretenir,Présent,entretiens,entretiens,entretient,entretenons,entretenez,entretiennent
entretenir,Passé composé,ai entretenu,as entretenu,a entretenu,avons entretenu,avez entretenu,ont entretenu
entretenir,Imparfait,entretenais,entretenais,entretenait,entretenions,entreteniez,entretenaient
entretenir,Futur simple,entretiendrai,entretiendras,entretiendra,entretiendrons,entretiendrez,entretiendront
entrevoir,Présent,entrevois,entrevois,entrevoit,entrevoyons,entrevoyez,entrevoient
entrevoir,Passé composé,ai entrevu,as entrevu,a entrevu,avons entrevu,avez entrevu,ont entrevu
entrevoir,Imparfait,entrevoyais,entrevoyais,entrevoyait,entrevoyions,entrevoyiez,entrevoyaient
entrevoir,Futur simple,entreverrai,entreverras,entreverra,entreverrons,entreverrez,entreverront
entrouvrir,Présent,entrouvre,entrouvres,entrouvre,entrouvrons,entrouvrez,entrouvrent
entrouvrir,Passé composé,ai entrouvert,as entrouvert,a entrouvert,avons entrouvert,avez entrouvert,ont entrouvert
entrouvrir,Imparfait,entrouvrais,entrouvrais,entrouvrait,entrouvrions,entrouvriez,entrouvraient
entrouvrir,Futur simple,entrouvrirai,entrouvriras,entrouvrira,entrouvrirons,entrouvrirez,entrouvriront
épandre,Présent,épands,épands,épand,épandons,épandez,épandent
épandre,Passé composé,ai épandu,as épandu,a épandu,avons épandu,avez épandu,ont épandu
épandre,Imparfait,épandais,épandais,épandait,épandions,épandiez,épandaient
épandre,Futur simple,épandrai,épandras,épandra,épandrons,épandrez,épandront
épreindre,Présent,épreins,épreins,épreint,épreignons,épreignez,épreignent
épreindre,Passé composé,ai épreint,as épreint,a épreint,avons épreint,avez épreint,ont épreint
épreindre,Imparfait,épreignais,épreignais,épreignait,épreignions,épreigniez,épreignaient
épreindre,Futur simple,épreindrai,épreindras,épreindra,épreindrons,épreindrez,épreindront
équivaloir,Présent,équivaux,équivaux,équivaut,équivalons,équivalez,équivalent
équivaloir,Passé composé,ai équivalu,as équivalu,a équivalu,avons équivalu,avez équivalu,ont équivalu
équivaloir,Imparfait,équivalais,équivalais,équivalait,équivalions,équivaliez,équivalaient
équivaloir,Futur simple,équivaudrai,équivaudras,équivaudra,équivaudrons,équivaudrez,équivaudront
éteindre,Présent,éteins,éteins,éteint,éteignons,éteignez,éteignent
éteindre,Passé composé,ai éteint,as éteint,a éteint,avons éteint,avez éteint,ont éteint
éteindre,Imparfait,éteignais,éteignais,éteignait,éteignions,éteigniez,éteignaient
éteindre,Futur simple,éteindrai,éteindras,éteindra,éteindrons,éteindrez,éteindront
exclure,Présent,exclus,exclus,exclut,excluons,excluez,excluent
exclure,Passé composé,ai exclu,as exclu,a exclu,avons exclu,avez exclu,ont exclu
exclure,Imparfait,excluais,excluais,excluait,excluions,excluiez,excluaient
exclure,Futur simple,exclurai,excluras,exclura,exclurons,exclurez,excluront
extraire,Présent,extrais,extrais,extrait,extrayons,extrayez,extraient
extraire,Passé composé,ai extrait,as extrait,a extrait,avons extrait,avez extrait,ont extrait
extraire,Imparfait,extrayais,extrayais,extrayait,extrayions,extrayiez,extrayaient
extraire,Futur simple,extrairai,extrairas,extraira,extrairons,extrairez,extrairont
faillir,Présent,FALSE,FALSE,faut,faillons,faillez,faillent
faillir,Passé composé,ai failli,as failli,a failli,avons failli,avez failli,ont failli
faillir,Imparfait,faillais,faillais,faillait,faillions,failliez,faillaient
faillir,Futur simple,faillirai,failliras,faillira,faillirons,faillirez,failliront
faire,Présent,fais,fais,fait,faisons,faites,font
faire,Passé composé,ai fait,as fait,a fait,avons fait,avez fait,ont fait
faire,Imparfait,faisais,faisais,faisait,faisions,faisiez,faisaient
faire,Futur simple,ferai,feras,fera,ferons,ferez,feront
feindre,Présent,feins,feins,feint,feignons,feignez,feignent
feindre,Passé composé,ai feint,as feint,a feint,avons feint,avez feint,ont feint
feindre,Imparfait,feignais,feignais,feignait,feignions,feigniez,feignaient
feindre,Futur simple,feindrai,feindras,feindra,feindrons,feindrez,feindront
fendre,Présent,fends,fends,fend,fendons,fendez,fendent
fendre,Passé composé,ai fendu,as fendu,a fendu,avons fendu,avez fendu,ont fendu
fendre,Imparfait,fendais,fendais,fendait,fendions,fendiez,fendaient
fendre,Futur simple,fendrai,fendras,fendra,fendrons,fendrez,fendront
fondre,Présent,fonds,fonds,fond,fondons,fondez,fondent
fondre,Passé composé,ai fondu,as fondu,a fondu,avons fondu,avez fondu,ont fondu
fondre,Imparfait,fondais,fondais,fondait,fondions,fondiez,fondaient
fondre,Futur simple,fondrai,fondras,fondra,fondrons,fondrez,fondront
foutre,Présent,fous,fous,fout,foutons,foutez,foutent
foutre,Passé composé,ai foutu,as foutu,a foutu,avons foutu,avez foutu,ont foutu
foutre,Imparfait,foutais,foutais,foutait,foutions,foutiez,foutaient
foutre,Futur simple,foutrai,foutras,foutra,foutrons,foutrez,foutront
fuir,Présent,fuis,fuis,fuit,fuyons,fuyez,fuient
fuir,Passé composé,ai fui,as fui,a fui,avons fui,avez fui,ont fui
fuir,Imparfait,fuyais,fuyais,fuyait,fuyions,fuyiez,fuyaient
fuir,Futur simple,fuirai,fuiras,fuira,fuirons,fuirez,fuiront
geindre,Présent,geins,geins,geint,geignons,geignez,geignent
geindre,Passé composé,ai geint,as geint,a geint,avons geint,avez geint,ont geint
geindre,Imparfait,geignais,geignais,geignait,geignions,geigniez,geignaient
geindre,Futur simple,geindrai,geindras,geindra,geindrons,geindrez,geindront
inclure,Présent,inclus,inclus,inclut,incluons,incluez,incluent
inclure,Passé composé,ai inclus,as inclus,a inclus,avons inclus,avez inclus,ont inclus
inclure,Imparfait,incluais,incluais,incluait,incluions,incluiez,incluaient
inclure,Futur simple,inclurai,incluras,inclura,inclurons,inclurez,incluront
induire,Présent,induis,induis,induit,induisons,induisez,induisent
induire,Passé composé,ai induit,as induit,a induit,avons induit,avez induit,ont induit
induire,Imparfait,induisais,induisais,induisait,induisions,induisiez,induisaient
induire,Futur simple,induirai,induiras,induira,induirons,induirez,induiront
inscrire,Présent,inscris,inscris,inscrit,inscrivons,inscrivez,inscrivent
inscrire,Passé composé,ai inscrit,as inscrit,a inscrit,avons inscrit,avez inscrit,ont inscrit
inscrire,Imparfait,inscrivais,inscrivais,inscrivait,inscrivions,inscriviez,inscrivaient
inscrire,Futur simple,inscrirai,inscriras,inscrira,inscrirons,inscrirez,inscriront
instruire,Présent,instruis,instruis,instruit,instruisons,instruisez,instruisent
instruire,Passé composé,ai instruit,as instruit,a instruit,avons instruit,avez instruit,ont instruit
instruire,Imparfait,instruisais,instruisais,instruisait,instruisions,instruisiez,instruisaient
instruire,Futur simple,instruirai,instruiras,instruira,instruirons,instruirez,instruiront
interdire,Présent,interdis,interdis,interdit,interdisons,interdisez,interdisent
interdire,Passé composé,ai interdit,as interdit,a interdit,avons interdit,avez interdit,ont interdit
interdire,Imparfait,interdisais,interdisais,interdisait,interdisions,interdisiez,interdisaient
interdire,Futur simple,interdirai,interdiras,interdira,interdirons,interdirez,interdiront
interrompre,Présent,interromps,interromps,interrompt,interrompons,interrompez,interrompent
interrompre,Passé composé,ai interrompu,as interrompu,a interrompu,avons interrompu,avez interrompu,ont interrompu
interrompre,Imparfait,interrompais,interrompais,interrompait,interrompions,interrompiez,interrompaient
interrompre,Futur simple,interromprai,interrompras,interrompra,interromprons,interromprez,interrompront
intervenir,Présent,interviens,interviens,intervient,intervenons,intervenez,interviennent
intervenir,Passé composé,suis intervenu,es intervenu,est intervenu,sommes intervenus,êtes intervenus,sont intervenus
intervenir,Imparfait,intervenais,intervenais,intervenait,intervenions,interveniez,intervenaient
intervenir,Futur simple,interviendrai,interviendras,interviendra,interviendrons,interviendrez,interviendront
introduire,Présent,introduis,introduis,introduit,introduisons,introduisez,introduisent
introduire,Passé composé,ai introduit,as introduit,a introduit,avons introduit,avez introduit,ont introduit
introduire,Imparfait,introduisais,introduisais,introduisait,introduisions,introduisiez,introduisaient
introduire,Futur simple,introduirai,introduiras,introduira,introduirons,introduirez,introduiront
joindre,Présent,joins,joins,joint,joignons,joignez,joignent
joindre,Passé composé,ai joint,as joint,a joint,avons joint,avez joint,ont joint
joindre,Imparfait,joignais,joignais,joignait,joignions,joigniez,joignaient
joindre,Futur simple,joindrai,joindras,joindra,joindrons,joindrez,joindront
lire,Présent,lis,lis,lit,lisons,lisez,lisent
lire,Passé composé,ai lu,as lu,a lu,avons lu,avez lu,ont lu
lire,Imparfait,lisais,lisais,lisait,lisions,lisiez,lisaient
lire,Futur simple,lirai,liras,lira,lirons,lirez,liront
luire,Présent,luis,luis,luit,luisons,luisez,luisent
luire,Passé composé,ai lui,as lui,a lui,avons lui,avez lui,ont lui
luire,Imparfait,luisais,luisais,luisait,luisions,luisiez,luisaient
luire,Futur simple,luirai,luiras,luira,luirons,luirez,luiront
mainmettre,Présent,mainmets,mainmets,mainmet,mainmettons,mainmettez,mainmettent
mainmettre,Passé composé,ai mainmis,as mainmis,a mainmis,avons mainmis,avez mainmis,ont mainmis
mainmettre,Imparfait,mainmettais,mainmettais,mainmettait,mainmettions,mainmettiez,mainmettaient
mainmettre,Futur simple,mainmettrai,mainmettras,mainmettra,mainmettrons,mainmettrez,mainmettront
maintenir,Présent,maintiens,maintiens,maintient,maintenons,maintenez,maintiennent
maintenir,Passé composé,ai maintenu,as maintenu,a maintenu,avons maintenu,avez maintenu,ont maintenu
maintenir,Imparfait,maintenais,maintenais,maintenait,maintenions,mainteniez,maintenaient
maintenir,Futur simple,maintiendrai,maintiendras,maintiendra,maintiendrons,maintiendrez,maintiendront
méconduire,Présent,méconduis,méconduis,méconduit,méconduisons,méconduisez,méconduisent
méconduire,Passé composé,ai méconduit,as méconduit,a méconduit,avons méconduit,avez méconduit,ont méconduit
méconduire,Imparfait,méconduisais,méconduisais,méconduisait,méconduisions,méconduisiez,méconduisaient
méconduire,Futur simple,méconduirai,méconduiras,méconduira,méconduirons,méconduirez,méconduiront
méconnaître,Présent,méconnais,méconnais,méconnaît,méconnaissons,méconnaissez,méconnaissent
méconnaître,Passé composé,ai méconnu,as méconnu,a méconnu,avons méconnu,avez méconnu,ont méconnu
méconnaître,Imparfait,méconnaissais,méconnaissais,méconnaissait,méconnaissions,méconnaissiez,méconnaissaient
méconnaître,Futur simple,méconnaîtrai,méconnaîtras,méconnaîtra,méconnaîtrons,méconnaîtrez,méconnaîtront
mécroire,Présent,mécrois,mécrois,mécroit,mécroyons,mécroyez,mécroient
mécroire,Passé composé,ai mécru,as mécru,a mécru,avons mécru,avez mécru,ont mécru
mécroire,Imparfait,mécroyais,mécroyais,mécroyait,mécroyions,mécroyiez,mécroyaient
mécroire,Futur simple,mécroirai,mécroiras,mécroira,mécroirons,mécroirez,mécroiront
médire,Présent,médis,médis,médit,médisons,médisez,médisent
médire,Passé composé,ai médit,as médit,a médit,avons médit,avez médit,ont médit
médire,Imparfait,médisais,médisais,médisait,médisions,médisiez,médisaient
médire,Futur simple,médirai,médiras,médira,médirons,médirez,médiront
mentir,Présent,mens,mens,ment,mentons,mentez,mentent
mentir,Passé composé,ai menti,as menti,a menti,avons menti,avez menti,ont menti
mentir,Imparfait,mentais,mentais,mentait,mentions,mentiez,mentaient
mentir,Futur simple,mentirai,mentiras,mentira,mentirons,mentirez,mentiront
mettre,Présent,mets,mets,met,mettons,mettez,mettent
mettre,Passé composé,ai mis,as mis,a mis,avons mis,avez mis,ont mis
mettre,Imparfait,mettais,mettais,mettait,mettions,mettiez,mettaient
mettre,Futur simple,mettrai,mettras,mettra,mettrons,mettrez,mettront
mévendre,Présent,mévends,mévends,mévend,mévendons,mévendez,mévendent
mévendre,Passé composé,ai mévendu,as mévendu,a mévendu,avons mévendu,avez mévendu,ont mévendu
mévendre,Imparfait,mévendais,mévendais,mévendait,mévendions,mévendiez,mévendaient
mévendre,Futur simple,mévendrai,mévendras,mévendra,mévendrons,mévendrez,mévendront
mordre,Présent,mords,mords,mord,mordons,mordez,mordent
mordre,Passé composé,ai mordu,as mordu,a mordu,avons mordu,avez mordu,ont mordu
mordre,Imparfait,mordais,mordais,mordait,mordions,mordiez,mordaient
mordre,Futur simple,mordrai,mordras,mordra,mordrons,mordrez,mordront
moudre,Présent,mouds,mouds,moud,moulons,moulez,moulent
moudre,Passé composé,ai moulu,as moulu,a moulu,avons moulu,avez moulu,ont moulu
moudre,Imparfait,moulais,moulais,moulait,moulions,mouliez,moulaient
moudre,Futur simple,moudrai,moudras,moudra,moudrons,moudrez,moudront
mourir,Présent,meurs,meurs,meurt,mourons,mourez,meurent
mourir,Passé composé,suis mort,es mort,est mort,sommes morts,êtes morts,sont morts
mourir,Imparfait,mourais,mourais,mourait,mourions,mouriez,mouraient
mourir,Futur simple,mourrai,mourras,mourra,mourrons,mourrez,mourront
mouvoir,Présent,meus,meus,meut,mouvons,mouvez,meuvent
mouvoir,Passé composé,ai mû,as mû,a mû,avons mû,avez mû,ont mû
mouvoir,Imparfait,mouvais,mouvais,mouvait,mouvions,mouviez,mouvaient
mouvoir,Futur simple,mouvrai,mouvras,mouvra,mouvrons,mouvrez,mouvront
naître,Présent,nais,nais,naît,naissons,naissez,naissent
naître,Passé composé,suis né,es né,est né,sommes nés,êtes nés,sont nés
naître,Imparfait,naissais,naissais,naissait,naissions,naissiez,naissaient
naître,Futur simple,naîtrai,naîtras,naîtra,naîtrons,naîtrez,naîtront
nuire,Présent,nuis,nuis,nuit,nuisons,nuisez,nuisent
nuire,Passé composé,ai nui,as nui,a nui,avons nui,avez nui,ont nui
nuire,Imparfait,nuisais,nuisais,nuisait,nuisions,nuisiez,nuisaient
nuire,Futur simple,nuirai,nuiras,nuira,nuirons,nuirez,nuiront
obtenir,Présent,obtiens,obtiens,obtient,obtenons,obtenez,obtiennent
obtenir,Passé composé,ai obtenu,as obtenu,a obtenu,avons obtenu,avez obtenu,ont obtenu
obtenir,Imparfait,obtenais,obtenais,obtenait,obtenions,obteniez,obtenaient
